Jun 13 16:54:55.809 VTTY: Console port: waiting connection on tcp port 2016 for protocol IPv4 (FD 11)
Jun 13 16:54:55.864 slot0: C/H/S settings = 0/4/32
Jun 13 16:54:55.864 slot1: C/H/S settings = 0/4/32
Jun 13 16:54:56.042 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x60b22838,JIT on)
Jun 13 16:54:56.042 CPU0: CPU_STATE: Starting CPU (old state=2)...
Jun 13 16:54:56.219 ROM: Microcode has started.
Jun 13 16:54:56.224 ROM: trying to read bootvar 'WARM_REBOOT'
Jun 13 16:54:56.226 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80b19dc8 (size=1)
Jun 13 16:54:56.226 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80b19ddc (size=1)
Jun 13 16:54:56.332 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6028c954 (size=2)
Jun 13 16:54:56.334 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x60294524 (size=2)
Jun 13 16:54:56.334 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x60294534 (size=2)
Jun 13 16:54:56.334 ROM: unhandled syscall 0x00000047 at pc=0x60b21260 (a1=0xbfb00000,a2=0x6555fe22,a3=0x6555fe1b)
Jun 13 16:54:56.641 ROM: trying to read bootvar 'RANDOM_NUM'
Jun 13 16:54:56.689 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x602a20fc (size=2)
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x84
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x84
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x0c
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x0c
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x8c
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x8c
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x10
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x10
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x90
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x90
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x14
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x14
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x94
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x602a53a8: bus=0,device=0,function=0,reg=0x94
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x602a53a4 (bus=0,device=0,function=1,reg=0x10).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x602a53a8 (bus=0,device=0,function=1,reg=0x10).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x602a53a4 (bus=0,device=0,function=1,reg=0x90).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x602a53a8 (bus=0,device=0,function=1,reg=0x90).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x602a53a4 (bus=0,device=0,function=1,reg=0x14).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x602a53a8 (bus=0,device=0,function=1,reg=0x14).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x602a53a4 (bus=0,device=0,function=1,reg=0x94).
Jun 13 16:54:56.690 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x602a53a8 (bus=0,device=0,function=1,reg=0x94).
Jun 13 16:54:56.692 CPU0: IO_FPGA: write to unknown addr 0x4c, value=0xf000, pc=0x602a1b30 (size=2)
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=1,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=1,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=1,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=1,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5384: bus=0,device=1,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5390: bus=0,device=1,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=2,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=2,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=2,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=2,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5384: bus=0,device=2,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5390: bus=0,device=2,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=3,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=3,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=3,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=3,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x0c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x18
Jun 13 16:54:56.692 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x1c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x20
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x24
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x30
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x3c
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x64
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x68
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5384: bus=0,device=3,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5390: bus=0,device=3,function=0,reg=0xf0
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=4,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=4,function=0,reg=0x00
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b4: bus=0,device=4,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: read request for device 'ti2050b' at pc=0x602a54b8: bus=0,device=4,function=0,reg=0x40
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x04
Jun 13 16:54:56.692 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x0c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x0c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x18
Jun 13 16:54:56.693 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x18
Jun 13 16:54:56.693 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x1c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x1c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x20
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x20
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x24
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x24
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x30
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x30
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x3c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x3c
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x40
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x40
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x64
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x64
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x68
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x68
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0x04
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0x04
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5384: bus=0,device=4,function=0,reg=0xf0
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x602a5390: bus=0,device=4,function=0,reg=0xf0
Jun 13 16:54:56.693 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x602a53a4: bus=0,device=0,function=0,reg=0x20
