Jun 21 11:33:14.849 VTTY: Console port: waiting connection on tcp port 5026 for protocol IPv4 (FD 12)
Jun 21 11:33:14.853 slot0: C/H/S settings = 16/4/32
Jun 21 11:33:14.858 slot1: C/H/S settings = 0/4/32
Jun 21 11:33:15.063 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x60ba7598,JIT on)
Jun 21 11:33:15.063 CPU0: CPU_STATE: Starting CPU (old state=2)...
Jun 21 11:33:15.258 ROM: Microcode has started.
Jun 21 11:33:15.263 ROM: trying to read bootvar 'WARM_REBOOT'
Jun 21 11:33:15.265 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80b9d168 (size=1)
Jun 21 11:33:15.265 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80b9d17c (size=1)
Jun 21 11:33:15.372 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6024bc80 (size=2)
Jun 21 11:33:15.374 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x60253984 (size=2)
Jun 21 11:33:15.374 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x60253994 (size=2)
Jun 21 11:33:15.374 ROM: unhandled syscall 0x00000047 at pc=0x60b9e914 (a1=0x80007df4,a2=0x637a273c,a3=0x0000011c)
Jun 21 11:33:15.962 ROM: trying to read bootvar 'RANDOM_NUM'
Jun 21 11:33:15.997 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x60261248 (size=2)
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60264030: bus=0,device=0,function=0,reg=0x94
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60264034: bus=0,device=0,function=0,reg=0x94
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60264030 (bus=0,device=0,function=1,reg=0x10).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60264034 (bus=0,device=0,function=1,reg=0x10).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60264030 (bus=0,device=0,function=1,reg=0x90).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60264034 (bus=0,device=0,function=1,reg=0x90).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60264030 (bus=0,device=0,function=1,reg=0x14).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60264034 (bus=0,device=0,function=1,reg=0x14).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60264030 (bus=0,device=0,function=1,reg=0x94).
Jun 21 11:33:15.998 CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60264034 (bus=0,device=0,function=1,reg=0x94).
Jun 21 11:33:15.999 CPU0: IO_FPGA: write to unknown addr 0x4c, value=0xf000, pc=0x6026188c (size=2)
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=1,function=0,reg=0x00
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=1,function=0,reg=0x00
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=1,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=1,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x0c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x0c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x18
Jun 21 11:33:15.999 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x18
Jun 21 11:33:15.999 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x1c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x1c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x20
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x20
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x24
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x24
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x30
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x30
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x3c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x3c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x64
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x64
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x68
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x68
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60264010: bus=0,device=1,function=0,reg=0xf0
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6026401c: bus=0,device=1,function=0,reg=0xf0
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=2,function=0,reg=0x00
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=2,function=0,reg=0x00
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=2,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=2,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x0c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x0c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x18
Jun 21 11:33:15.999 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x18
Jun 21 11:33:15.999 PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x1c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x1c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x20
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x20
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x24
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x24
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x30
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x30
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x3c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x3c
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x40
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x64
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x64
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x68
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x68
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0x04
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60264010: bus=0,device=2,function=0,reg=0xf0
Jun 21 11:33:15.999 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6026401c: bus=0,device=2,function=0,reg=0xf0
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=3,function=0,reg=0x00
Jun 21 11:33:15.999 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=3,function=0,reg=0x00
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=3,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=3,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x0c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x0c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x18
Jun 21 11:33:16.000 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x18
Jun 21 11:33:16.000 PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x1c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x1c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x24
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x24
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x30
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x30
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x3c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x3c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x64
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x64
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x68
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x68
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60264010: bus=0,device=3,function=0,reg=0xf0
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6026401c: bus=0,device=3,function=0,reg=0xf0
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=4,function=0,reg=0x00
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=4,function=0,reg=0x00
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264144: bus=0,device=4,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: read request for device 'ti2050b' at pc=0x60264148: bus=0,device=4,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x0c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x0c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x18
Jun 21 11:33:16.000 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x18
Jun 21 11:33:16.000 PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x1c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x1c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x24
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x24
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x30
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x30
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x3c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x3c
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x40
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x64
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x64
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x68
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x68
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0x04
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60264010: bus=0,device=4,function=0,reg=0xf0
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6026401c: bus=0,device=4,function=0,reg=0xf0
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60264030: bus=0,device=0,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60264034: bus=0,device=0,function=0,reg=0x20
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60264030: bus=0,device=0,function=0,reg=0xa0
Jun 21 11:33:16.000 CPU0: PCI: write request (data=0x24000000) for device 'gt96100' at pc=0x60264034: bus=0,device=0,function=0,reg=0xa0
